House ID,House Type,Address,Address (city),sq ft,rooms,Bathrooms,Bedrooms,Parking,Maintenance,Tax,Cost,$/sqft,Sold/Listed (s/l),Building/Neighbourhood,Date_listed
1,Condo,"3650 Kaneff Cres 1704
 Mississauga Ontario L5A4A1",Mississauga,1300,6,2,2,1,$807.55,"$2,168.00","$387,000.00",$297.69,s,3650 Kaneff Cres,1/31/2017
2,Condo,"3650 Kaneff Cres 1704
 Mississauga Ontario L5A4A1",Mississauga,1300,6,2,2,1,$807.55,"$2,163.77","$406,000.00",$312.31,s,3650 Kaneff Cres,2/1/2017
3,Condo,"3650 Kaneff Cres 1802
 Mississauga Ontario L5A 4A1",Mississauga,1300,6,2,2,2,$798.00,"$2,174.39","$434,500.00",$334.23,s,3650 Kaneff Cres,2/2/2017
4,Condo,"3650 Kaneff Cres 1802
 Mississauga Ontario L5A 4A1",Mississauga,1300,6,2,2,2,$770.80,"$2,168.03","$385,000.00",$296.15,s,3650 Kaneff Cres,2/3/2017
5,Condo,"3650 Kaneff Cres 1802
 Mississauga Ontario L5A 4A1",Mississauga,1300,7,2,2,2,$795.87,"$2,180.00","$425,000.00",$326.92,s,3650 Kaneff Cres,2/4/2017
6,Condo,"3650 Kaneff Cres 1802
 Mississauga Ontario L5A 4A1",Mississauga,1300,6,2,2,2,$824.45,"$2,107.18","$390,000.00",$300.00,s,3650 Kaneff Cres,2/5/2017
7,Condo,"4460 Tucana Crt 1704
 Mississauga Ontario L5R3K9",Mississauga,1300,7,2,2,3,$936.38,"$1,993.90","$424,900.00",$326.85,l,4460 Tucana Crt,2/6/2017
8,Condo,"550 Webb Dr 214
 Mississauga Ontario L5B3Y4",Mississauga,1100,6,1,2,2,$611.39,"$2,032.12","$429,000.00",$390.00,l,550 Webb Dr,2/7/2017
9,Condo,"50 Eglinton Ave W 201
 Mississauga Ontario L5R 3P5",Mississauga,1100,7,2,2,2,$659.75,"$2,208.37","$472,900.00",$429.91,l,50 Eglinton Ave W,2/8/2017
10,Condo/Town,"115 Bristol Rd E 13
 Mississauga Ontario L4Z3P7",Mississauga,1100,10,2,3,2,$456.00,"$2,080.00","$529,900.00",$481.73,l,115 Bristol Rd E,2/9/2017
11,Condo,"550 Webb Dr 1210
 Mississauga Ontario L5B3Y4",Mississauga,1100,6,2,2,2,$695.00,"$2,412.22","$529,999.00",$481.82,l,550 Webb Dr,2/10/2017
12,Condo,"330 Rathburn Rd W 2407
Mississauga Ontario L5B3Y1",Mississauga,1100,6,2,2,2,$775.51,"$2,259.33","$469,900.00",$427.18,l,330 Rathburn Rd W,2/11/2017
13,Condo,400 Webb drive,Mississauga,1400,7,2,2,2,$816.00,"$2,250.00","$480,000.00",$342.86,l,400 Webb Drive,2/12/2017
14,Condo,18th floor 400 Webb drive,Mississauga,1200,5,2,2,2,$715.00,"$2,550.00","$459,000.00",$382.50,l,400 Webb Drive,2/13/2017
15,Condo,400 Webb Drive,Mississauga,1500,8,2,2,2,$785.00,"$2,520.51","$488,000.00",$325.33,s,400 Webb Drive,2/14/2017
16,Condo,400 Webb Drive,Mississauga,1300,6,2,2,2,$714.00,"$2,314.88","$419,000.00",$322.31,s,400 Webb Drive,2/15/2017
17,Condo,400 Webb Drive,Mississauga,1300,6,2,2,2,$713.70,"$2,357.00","$489,000.00",$376.15,s,400 Webb Drive,2/16/2017
18,Condo,400 Webb Drive,Mississauga,1100,6,2,2,2,$648.21,"$2,221.62","$418,500.00",$380.45,s,400 Webb Drive,2/17/2017
19,Condo,400 Webb Drive,Mississauga,1100,6,2,2,2,$664.44,"$2,220.84","$425,000.00",$386.36,s,400 Webb Drive,2/18/2017
20,Condo,400 Webb Drive,Mississauga,1100,6,2,2,2,$648.21,"$2,223.22","$435,000.00",$395.45,s,400 Webb Drive,2/19/2017
21,Condo,2565 Erin Centre Blvd 411,Mississauga,1100,5,2,2,2,$818.60,"$2,568.00","$465,900.00",$423.55,l,2565 Erin Centre Blvd,2/20/2017
22,Condo,350 Webb Drive,Mississauga,1300,7,2,2,2,$790.16,"$2,308.72","$399,000.00",$306.92,l,350 Webb Dr,2/21/2017
23,Condo,3605 Kariya Dr 1509,Mississauga,1395,6,2,2,2,"$1,021.75","$2,454.69","$448,000.00",$321.15,l,3605 Kariya Dr,2/22/2017
24,Condo,330 Rathburn Rd W 2407,Mississauga,1100,6,2,2,2,$775.51,"$2,259.33","$469,900.00",$427.18,l,330 Rathburn Rd,2/23/2017
25,Condo,310 Burnhamthorpe Rd W 610,Mississauga,850,6,2,2,2,$497.47,"$2,645.80","$499,900.00",$588.12,l,310 Burnhamthorpe Rd,2/24/2017
26,Condo/Town,3020 Cedarglen Gate 33,Mississauga,1500,8,2,3,3,$225.00,"$2,923.96","$555,000.00",$370.00,l,3020 Cedarglen Gate,2/25/2017
27,Condo,60 Absolute Ave 1807,Mississauga,1300,5,2,2,2,$823.42,"$3,380.00","$499,000.00",$383.85,l,60 Absolute Ave,2/26/2017
28,Condo,4450 Tucana Crt 609,Mississauga,1200,6,2,2,2,$908.20,"$1,722.00","$399,900.00",$333.25,l,4450 Tucana Crt,2/27/2017
29,Condo,400 Webb Dr 2101,Mississauga,950,6,1,2,2,$523.87,"$1,896.00","$439,900.00",$463.05,l,400 Webb Dr,2/28/2017
30,Condo,50 Kingsbridge Garden Circ 1807,Mississauga,1000,6,1,2,2,$673.33,"$1,897.33","$435,000.00",$435.00,l,50 Kingsbridge Garden Circ,3/1/2017
31,Condo,310 Burnhamthorpe Rd W 610,Mississauga,850,6,2,2,2,$497.57,"$2,645.80","$489,900.00",$576.35,l,310 Burnhamthorpe Rd,3/2/2017
32,Condo,550 Webb Dr 1706,Mississauga,1100,6,1,2,2,$564.68,"$1,923.85","$429,900.00",$390.82,l,550 Webb Dr,3/3/2017
33,Condo,1155 Bough Beeches Blvd Ph8,Mississauga,1100,6,2,2,2,$888.53,"$2,430.69","$389,900.00",$354.45,l,1155 Bough Beeches Blvd,3/4/2017
34,Condo,700 Constellation Dr 705,Mississauga,1250,7,2,2,1,$897.54,"$2,093.70","$419,900.00",$335.92,l,700 Constellation Dr,3/5/2017
35,Condo,50 Kingsbridge Garden Circ 1807,Mississauga,1100,6,1,2,2,$673.33,"$1,897.33","$435,000.00",$395.45,l,50 Kingsbridge Garden Circ,3/6/2017
36,Condo,550 Webb Dr 514,Mississauga,1100,6,1,2,2,$611.39,"$2,044.86","$439,900.00",$399.91,l,550 Webb Dr,3/7/2017
37,Condo,2120 Rathburn Rd E 87,Mississauga,1300,8,4,3,2,$511.15,"$2,920.33","$549,900.00",$423.00,l,2120 Rathburn Rd,3/8/2017
38,Condo,60 Barondale Dr 302,Mississauga,950,6,2,2,2,$463.24,"$2,050.00","$465,000.00",$489.47,l,60 Barondale Dr,3/9/2017
39,Condo,350 Webb Dr 1609,Mississauga,1300,6,2,2,2,$806.00,"$2,146.00","$434,900.00",$334.54,l,350 Webb Dr,3/10/2017
40,Condo,350 Webb Dr 1501,Mississauga,1100,6,2,2,2,$818.30,"$2,144.67","$534,900.00",$486.27,l,350 Webb Dr,3/11/2017
41,Condo/Town,3250 The Credit Woodlands Rd,Mississauga,1100,9,3,3,2,$444.00,"$2,257.00","$524,900.00",$477.18,l,3250 The Credit Woodlands Rd,3/12/2017
42,Condo,3605 Kariya Dr 201,Mississauga,1100,6,2,2,2,$857.00,"$2,130.00","$429,900.00",$390.82,l,3605 Kariya Dr,3/13/2017
43,Condo,70 Absolute Ave 3007,Mississauga,1100,6,2,2,2,$899.70,"$3,418.73","$489,900.00",$445.36,l,70 Absolute Ave,3/14/2017
44,Condo/Town,80 Acorn Pl 189,Mississauga,1300,8,3,3,2,$133.00,"$3,302.00","$599,999.00",$461.54,l,80 Acorn Pl,3/15/2017
45,Condo,250 Webb Dr 914,Mississauga,1300,6,2,2,2,$840.00,"$2,337.90","$459,900.00",$353.77,l,250 Webb Dr,3/16/2017
46,Condo/Town,156 Enfield Pl 1611,Mississauga,1300,6,2,2,2,$721.00,"$2,769.00","$589,000.00",$453.08,l,156 Enfield Pl,3/17/2017
47,Condo,50 Kingsbridge Garden Circ 1807,Mississauga,1100,6,1,2,2,$673.33,"$1,897.33","$379,900.00",$345.36,l,50 Kingsbridge Garden Circ,3/18/2017
48,Condo,50 Kingsbridge Garden Circ 1609,Mississauga,950,5,1,2,2,$641.72,"$1,844.80","$379,990.00",$399.99,l,50 Kingsbridge Garden Circ,3/19/2017
49,Condo,3525 Kariya Dr 206,Mississauga,950,6,2,2,2,$596.26,"$2,917.60","$475,000.00",$500.00,l,3525 Kariya Dr,3/20/2017
50,Condo,550 Webb Dr 1706,Mississauga,1100,6,1,2,2,$564.00,"$1,923.00","$399,000.00",$362.73,l,550 Webb Dr,3/21/2017
51,Condo,350 Webb Dr 1609,Mississauga,1200,8,2,2,2,$806.00,"$2,146.00","$434,900.00",$362.42,l,350 Webb Dr,3/22/2017
52,Condo,350 Webb Dr 2109,Mississauga,1200,8,2,2,2,$806.00,"$2,126.00","$449,999.00",$375.00,l,350 Webb Dr,3/23/2017
54,Condo,50 Kingsbridge Garden Circ 211,Mississauga,950,6,1,2,2,$673.33,"$1,798.55","$418,888.00",$440.93,l,50 Kingsbridge Garden Circ,3/24/2017
55,Condo,4470 Tucana Crt 208,Mississauga,950,6,2,2,1,$630.00,"$1,650.00","$408,000.00",$429.47,s,4470 Tucana Crt,3/25/2017
56,Condo,4460 Tucana Crt 2110,Mississauga,1100,6,2,2,3,$885.83,"$1,862.00","$370,000.00",$336.36,s,4460 Tucana Crt,3/26/2017
57,Condo,4460 Tucana Crt 109,Mississauga,1100,6,2,2,2,$848.01,"$1,863.00","$360,000.00",$327.27,s,4460 Tucana Crt,3/27/2017
58,Condo,4450 Tucana Crt 1008,Mississauga,1300,6,2,2,2,$895.09,"$1,884.31","$380,000.00",$292.31,s,4450 Tucana Crt,3/28/2017
59,Condo,4450 Tucana Crt 1203,Mississauga,1300,5,2,2,3,$908.20,"$1,828.28","$420,000.00",$323.08,s,4450 Tucana Crt,3/29/2017
